Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	141.3	144.45	122	0.946	0.0001
70000	142.05	147.85	143	0.9369999999999999	0.0001
80000	141.05	147.85	163	0.9279999999999999	0.0001
90000	147.75	147.85	185	0.919	0.0001
100000	139.95	148.5	206	0.91	0.0001
110000	141.0	148.5	224	0.901	0.0001
120000	148.95	150.75	245	0.892	0.0001
130000	142.25	150.75	267	0.883	0.0001
140000	131.75	150.75	289	0.874	0.0001
150000	127.45	150.75	310	0.865	0.0001
160000	123.85	150.75	330	0.856	0.0001
170000	122.75	150.75	351	0.847	0.0001
180000	133.45	150.75	370	0.838	0.0001
190000	148.45	150.75	387	0.829	0.0001
200000	157.0	157.8	408	0.82	0.0001
210000	155.65	159.8	428	0.8109999999999999	0.0001
220000	163.7	163.7	448	0.802	0.0001
230000	158.45	168.6	470	0.7929999999999999	0.0001
240000	137.85	168.6	494	0.784	0.0001
250000	138.1	168.6	513	0.775	0.0001
260000	136.6	168.6	534	0.766	0.0001
270000	129.8	168.6	555	0.757	0.0001
280000	134.8	168.6	575	0.748	0.0001
290000	146.8	168.6	595	0.739	0.0001
300000	141.85	168.6	617	0.73	0.0001
310000	150.85	168.6	636	0.721	0.0001
320000	149.9	168.6	656	0.712	0.0001
330000	153.65	168.6	678	0.703	0.0001
340000	147.65	168.6	698	0.694	0.0001
350000	149.35	168.6	720	0.685	0.0001
360000	143.3	168.6	742	0.6759999999999999	0.0001
370000	148.95	168.6	761	0.667	0.0001
380000	165.25	168.6	778	0.6579999999999999	0.0001
390000	168.65	170.25	798	0.649	0.0001
400000	172.85	173.45	818	0.6399999999999999	0.0001
410000	177.35	180.45	838	0.631	0.0001
420000	177.85	184.8	860	0.622	0.0001
430000	160.55	184.8	882	0.613	0.0001
440000	160.85	184.8	903	0.604	0.0001
450000	161.6	184.8	924	0.595	0.0001
460000	162.55	184.8	944	0.586	0.0001
470000	161.7	184.8	967	0.577	0.0001
480000	172.5	184.8	987	0.5680000000000001	0.0001
490000	168.85	184.8	1008	0.5589999999999999	0.0001
500000	166.05	184.8	1030	0.55	0.0001
510000	175.65	184.8	1048	0.5409999999999999	0.0001
520000	186.45	186.45	1067	0.532	0.0001
530000	181.95	188.1	1088	0.5229999999999999	0.0001
540000	187.05	188.1	1109	0.514	0.0001
550000	188.35	196.5	1131	0.5049999999999999	0.0001
560000	191.25	196.5	1148	0.4959999999999999	0.0001
570000	189.55	196.5	1169	0.487	0.0001
580000	199.5	199.5	1188	0.478	0.0001
590000	204.5	204.5	1208	0.469	0.0001
600000	208.65	209.55	1227	0.45999999999999996	0.0001
610000	199.7	209.65	1249	0.45099999999999996	0.0001
620000	212.9	212.9	1269	0.44199999999999995	0.0001
630000	214.2	217.8	1289	0.43299999999999994	0.0001
640000	219.05	223.5	1308	0.42399999999999993	0.0001
650000	226.05	226.05	1327	0.4149999999999999	0.0001
660000	237.6	237.6	1346	0.4059999999999999	0.0001
670000	251.3	251.55	1364	0.3969999999999999	0.0001
680000	260.95	260.95	1382	0.3879999999999999	0.0001
690000	255.95	260.95	1401	0.379	0.0001
700000	266.0	269.25	1421	0.37	0.0001
710000	262.55	269.25	1439	0.361	0.0001
720000	265.1	272.2	1456	0.352	0.0001
730000	271.05	273.25	1473	0.34299999999999997	0.0001
740000	268.6	274.0	1493	0.33399999999999996	0.0001
750000	265.4	274.0	1513	0.32499999999999996	0.0001
760000	269.8	274.0	1531	0.31599999999999995	0.0001
770000	268.4	274.0	1549	0.30699999999999994	0.0001
780000	268.55	274.0	1567	0.29799999999999993	0.0001
790000	272.8	274.0	1586	0.2889999999999999	0.0001
800000	277.9	278.35	1605	0.2799999999999999	0.0001
810000	273.55	278.35	1625	0.2709999999999999	0.0001
820000	284.5	284.55	1643	0.262	0.0001
830000	275.55	284.55	1662	0.253	0.0001
840000	283.85	284.55	1679	0.244	0.0001
850000	290.1	290.6	1697	0.235	0.0001
860000	290.25	293.65	1716	0.22599999999999998	0.0001
870000	297.15	299.8	1734	0.21699999999999997	0.0001
880000	297.55	301.75	1754	0.20799999999999996	0.0001
890000	300.6	304.85	1771	0.19899999999999995	0.0001
900000	300.85	304.85	1790	0.18999999999999995	0.0001
910000	306.0	308.0	1809	0.18099999999999994	0.0001
920000	299.55	308.0	1828	0.17199999999999993	0.0001
930000	298.5	308.0	1846	0.16299999999999992	0.0001
940000	296.05	308.0	1864	0.15400000000000003	0.0001
950000	295.15	308.0	1883	0.14500000000000002	0.0001
960000	307.35	308.0	1898	0.136	0.0001
970000	304.6	308.0	1918	0.127	0.0001
980000	311.0	312.7	1935	0.118	0.0001
990000	318.1	319.65	1953	0.10899999999999999	0.0001
1000000	324.0	325.35	1971	0.1	0.0001
1010000	331.05	333.55	1987	0.099775	9.9875e-05
1020000	324.55	333.55	2007	0.09955	9.975e-05
1030000	344.55	344.55	2021	0.09932500000000001	9.962500000000001e-05
1040000	345.75	350.9	2037	0.09910000000000001	9.95e-05
1050000	353.85	354.2	2052	0.098875	9.9375e-05
1060000	372.15	373.05	2071	0.09865	9.925e-05
1070000	380.55	385.25	2088	0.098425	9.912500000000001e-05
1080000	378.2	385.4	2109	0.09820000000000001	9.900000000000001e-05
1090000	370.1	385.4	2126	0.097975	9.8875e-05
1100000	359.8	385.4	2143	0.09775	9.875e-05
1110000	341.45	385.4	2161	0.097525	9.8625e-05
1120000	345.25	385.4	2177	0.09730000000000001	9.850000000000001e-05
1130000	337.1	385.4	2195	0.09707500000000001	9.8375e-05
1140000	344.9	385.4	2213	0.09685	9.825e-05
1150000	332.1	385.4	2231	0.096625	9.8125e-05
1160000	338.05	385.4	2247	0.0964	9.800000000000001e-05
1170000	347.25	385.4	2264	0.09617500000000001	9.787500000000001e-05
1180000	345.2	385.4	2282	0.09595000000000001	9.775e-05
1190000	344.7	385.4	2301	0.095725	9.7625e-05
1200000	337.9	385.4	2319	0.0955	9.75e-05
1210000	349.1	385.4	2335	0.095275	9.737500000000001e-05
1220000	342.45	385.4	2352	0.09505000000000001	9.725e-05
1230000	348.5	385.4	2368	0.094825	9.7125e-05
1240000	364.7	385.4	2384	0.0946	9.7e-05
1250000	384.05	385.4	2400	0.094375	9.687500000000001e-05
1260000	392.6	392.6	2416	0.09415000000000001	9.675000000000001e-05
1270000	395.95	396.7	2434	0.09392500000000001	9.6625e-05
1280000	404.45	408.05	2449	0.0937	9.65e-05
1290000	399.85	408.35	2466	0.093475	9.6375e-05
1300000	383.55	408.35	2483	0.09325	9.625000000000001e-05
1310000	364.65	408.35	2502	0.09302500000000001	9.6125e-05
1320000	358.6	408.35	2519	0.09280000000000001	9.6e-05
1330000	359.1	408.35	2537	0.092575	9.5875e-05
1340000	343.25	408.35	2553	0.09235	9.575000000000001e-05
1350000	347.45	408.35	2569	0.09212500000000001	9.562500000000001e-05
1360000	352.7	408.35	2586	0.09190000000000001	9.55e-05
1370000	346.75	408.35	2605	0.091675	9.5375e-05
1380000	338.8	408.35	2623	0.09145	9.525000000000001e-05
1390000	336.95	408.35	2638	0.091225	9.512500000000001e-05
1400000	330.55	408.35	2655	0.091	9.5e-05
1410000	326.4	408.35	2671	0.09077500000000001	9.4875e-05
1420000	339.15	408.35	2685	0.09055	9.475e-05
1430000	349.85	408.35	2700	0.090325	9.462500000000001e-05
1440000	360.95	408.35	2715	0.0901	9.45e-05
1450000	372.35	408.35	2731	0.08987500000000001	9.4375e-05
1460000	383.3	408.35	2745	0.08965000000000001	9.425e-05
1470000	392.55	408.35	2760	0.089425	9.412500000000001e-05
1480000	404.9	408.35	2774	0.0892	9.400000000000001e-05
1490000	392.65	408.35	2788	0.088975	9.3875e-05
1500000	388.45	408.35	2804	0.08875000000000001	9.375e-05
1510000	380.4	408.35	2819	0.088525	9.3625e-05
1520000	389.45	408.35	2833	0.0883	9.350000000000001e-05
1530000	384.7	408.35	2847	0.088075	9.3375e-05
1540000	389.65	408.35	2861	0.08785	9.325e-05
1550000	380.1	408.35	2876	0.08762500000000001	9.3125e-05
1560000	388.1	408.35	2890	0.0874	9.300000000000001e-05
1570000	406.6	408.35	2903	0.087175	9.287500000000001e-05
1580000	420.1	420.75	2917	0.08695	9.275e-05
1590000	424.8	426.5	2932	0.08672500000000001	9.2625e-05
1600000	431.05	433.1	2945	0.08650000000000001	9.25e-05
1610000	431.55	436.25	2959	0.086275	9.237500000000001e-05
1620000	442.1	442.1	2973	0.08605	9.225e-05
1630000	451.65	452.1	2986	0.085825	9.2125e-05
1640000	450.8	456.8	3000	0.08560000000000001	9.2e-05
1650000	445.2	456.8	3014	0.085375	9.1875e-05
1660000	459.35	459.35	3027	0.08515	9.175000000000001e-05
1670000	456.35	461.9	3041	0.084925	9.1625e-05
1680000	472.0	473.3	3054	0.0847	9.15e-05
1690000	473.65	476.1	3067	0.08447500000000001	9.137500000000001e-05
1700000	478.85	482.55	3079	0.08425	9.125000000000001e-05
1710000	475.9	482.55	3093	0.084025	9.1125e-05
1720000	482.55	483.1	3106	0.0838	9.1e-05
1730000	499.1	501.2	3120	0.08357500000000001	9.0875e-05
1740000	492.15	501.65	3132	0.08335000000000001	9.075000000000001e-05
1750000	504.4	504.4	3144	0.083125	9.062500000000001e-05
1760000	507.85	507.85	3156	0.0829	9.05e-05
1770000	513.35	513.7	3168	0.082675	9.0375e-05
1780000	515.7	515.7	3181	0.08245	9.025e-05
1790000	514.6	520.65	3195	0.082225	9.012500000000001e-05
1800000	520.4	521.3	3207	0.082	9e-05
1810000	525.65	526.3	3218	0.081775	8.9875e-05
1820000	534.1	534.1	3230	0.08155000000000001	8.975e-05
1830000	531.15	538.95	3242	0.08132500000000001	8.962500000000001e-05
1840000	529.85	538.95	3254	0.0811	8.950000000000001e-05
1850000	521.35	538.95	3267	0.080875	8.9375e-05
1860000	523.05	538.95	3279	0.08065	8.925e-05
1870000	535.0	538.95	3289	0.080425	8.912500000000001e-05
1880000	543.7	543.7	3302	0.08020000000000001	8.900000000000001e-05
1890000	548.75	548.75	3312	0.079975	8.8875e-05
1900000	546.6	550.9	3325	0.07975	8.875e-05
1910000	549.0	550.9	3338	0.079525	8.8625e-05
1920000	551.6	552.7	3349	0.07930000000000001	8.850000000000001e-05
1930000	566.6	566.6	3361	0.079075	8.837500000000001e-05
1940000	560.3	569.05	3373	0.07885	8.825e-05
1950000	568.1	569.05	3382	0.078625	8.8125e-05
1960000	559.25	569.05	3395	0.0784	8.8e-05
1970000	562.9	569.05	3407	0.07817500000000001	8.787500000000001e-05
1980000	564.65	569.05	3417	0.07795	8.775e-05
1990000	572.8	577.5	3428	0.077725	8.7625e-05
2000000	572.2	577.5	3440	0.0775	8.75e-05
2010000	574.2	580.0	3451	0.07727500000000001	8.737500000000001e-05
2020000	586.1	586.1	3463	0.07705000000000001	8.725e-05
2030000	591.6	596.9	3474	0.076825	8.7125e-05
2040000	592.4	598.3	3484	0.0766	8.7e-05
2050000	595.15	598.3	3497	0.076375	8.687500000000001e-05
2060000	571.5	598.3	3510	0.07615	8.675000000000001e-05
2070000	571.2	598.3	3521	0.075925	8.6625e-05
2080000	573.75	598.3	3533	0.0757	8.65e-05
2090000	566.25	598.3	3545	0.075475	8.6375e-05
2100000	561.4	598.3	3556	0.07525	8.625000000000001e-05
2110000	557.8	598.3	3565	0.07502500000000001	8.6125e-05
2120000	569.0	598.3	3577	0.0748	8.6e-05
2130000	570.55	598.3	3588	0.074575	8.5875e-05
2140000	589.95	598.3	3597	0.07435	8.575000000000001e-05
2150000	605.15	605.15	3609	0.074125	8.562500000000001e-05
2160000	616.6	616.6	3619	0.07390000000000001	8.55e-05
2170000	618.7	618.7	3629	0.073675	8.5375e-05
2180000	613.95	618.7	3642	0.07345	8.525000000000001e-05
