Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	137.65	144.35	125	0.946	0.0001
70000	139.55	144.95	146	0.9369999999999999	0.0001
80000	140.0	144.95	168	0.9279999999999999	0.0001
90000	140.35	144.95	190	0.919	0.0001
100000	144.7	145.6	211	0.91	0.0001
110000	148.9	149.1	232	0.901	0.0001
120000	150.5	154.0	253	0.892	0.0001
130000	157.9	159.6	274	0.883	0.0001
140000	168.9	170.8	295	0.874	0.0001
150000	182.6	182.6	312	0.865	0.0001
160000	185.8	191.1	332	0.856	0.0001
170000	198.6	198.6	352	0.847	0.0001
180000	195.85	198.65	374	0.838	0.0001
190000	191.8	198.65	394	0.829	0.0001
200000	184.25	199.6	415	0.82	0.0001
210000	188.35	199.6	437	0.8109999999999999	0.0001
220000	176.0	199.6	458	0.802	0.0001
230000	179.2	199.6	481	0.7929999999999999	0.0001
240000	170.7	199.6	503	0.784	0.0001
250000	182.65	199.6	522	0.775	0.0001
260000	194.95	199.6	541	0.766	0.0001
270000	198.0	199.6	561	0.757	0.0001
280000	203.75	203.85	583	0.748	0.0001
290000	210.3	211.5	603	0.739	0.0001
300000	211.65	216.05	622	0.73	0.0001
310000	204.3	216.05	643	0.721	0.0001
320000	210.1	216.05	661	0.712	0.0001
330000	218.9	221.85	680	0.703	0.0001
340000	213.4	221.85	701	0.694	0.0001
350000	206.8	221.85	723	0.685	0.0001
360000	204.95	221.85	745	0.6759999999999999	0.0001
370000	201.65	221.85	766	0.667	0.0001
380000	209.4	221.85	784	0.6579999999999999	0.0001
390000	207.6	221.85	806	0.649	0.0001
400000	209.45	221.85	825	0.6399999999999999	0.0001
410000	224.2	225.3	844	0.631	0.0001
420000	224.6	226.4	864	0.622	0.0001
430000	210.65	226.4	886	0.613	0.0001
440000	232.0	232.0	905	0.604	0.0001
450000	241.1	243.55	922	0.595	0.0001
460000	238.5	243.55	943	0.586	0.0001
470000	243.35	243.55	961	0.577	0.0001
480000	252.85	252.85	981	0.5680000000000001	0.0001
490000	253.25	255.1	1000	0.5589999999999999	0.0001
500000	251.95	255.1	1019	0.55	0.0001
510000	267.8	268.55	1036	0.5409999999999999	0.0001
520000	269.75	275.05	1054	0.532	0.0001
530000	267.9	275.05	1074	0.5229999999999999	0.0001
540000	276.4	277.95	1093	0.514	0.0001
550000	279.7	280.65	1112	0.5049999999999999	0.0001
560000	269.65	280.65	1130	0.4959999999999999	0.0001
570000	263.75	280.65	1149	0.487	0.0001
580000	278.15	280.65	1168	0.478	0.0001
590000	278.75	284.4	1187	0.469	0.0001
600000	278.35	284.4	1206	0.45999999999999996	0.0001
610000	284.35	284.4	1221	0.45099999999999996	0.0001
620000	293.7	293.7	1238	0.44199999999999995	0.0001
630000	301.7	302.3	1254	0.43299999999999994	0.0001
640000	300.9	306.7	1273	0.42399999999999993	0.0001
650000	308.65	313.3	1292	0.4149999999999999	0.0001
660000	310.3	313.3	1310	0.4059999999999999	0.0001
670000	312.55	317.55	1326	0.3969999999999999	0.0001
680000	317.05	321.6	1344	0.3879999999999999	0.0001
690000	323.25	323.25	1359	0.379	0.0001
700000	336.1	336.15	1376	0.37	0.0001
710000	341.25	344.95	1392	0.361	0.0001
720000	351.85	354.5	1409	0.352	0.0001
730000	352.65	359.1	1426	0.34299999999999997	0.0001
740000	358.15	359.1	1441	0.33399999999999996	0.0001
750000	353.6	362.95	1458	0.32499999999999996	0.0001
760000	358.6	362.95	1474	0.31599999999999995	0.0001
770000	368.8	369.2	1489	0.30699999999999994	0.0001
780000	360.15	369.2	1508	0.29799999999999993	0.0001
790000	358.55	369.2	1525	0.2889999999999999	0.0001
800000	363.5	369.2	1540	0.2799999999999999	0.0001
810000	380.8	382.35	1556	0.2709999999999999	0.0001
820000	364.3	382.55	1573	0.262	0.0001
830000	352.9	382.55	1591	0.253	0.0001
840000	366.05	382.55	1606	0.244	0.0001
850000	374.5	382.55	1622	0.235	0.0001
860000	361.1	382.55	1639	0.22599999999999998	0.0001
870000	347.3	382.55	1654	0.21699999999999997	0.0001
880000	354.25	382.55	1670	0.20799999999999996	0.0001
890000	365.45	382.55	1684	0.19899999999999995	0.0001
900000	377.6	382.55	1701	0.18999999999999995	0.0001
910000	366.4	382.55	1718	0.18099999999999994	0.0001
920000	372.65	382.55	1733	0.17199999999999993	0.0001
930000	379.95	382.55	1748	0.16299999999999992	0.0001
940000	391.85	392.25	1764	0.15400000000000003	0.0001
950000	385.95	395.8	1779	0.14500000000000002	0.0001
960000	382.9	395.8	1795	0.136	0.0001
970000	373.85	395.8	1811	0.127	0.0001
980000	377.95	395.8	1826	0.118	0.0001
990000	371.15	395.8	1843	0.10899999999999999	0.0001
1000000	365.9	395.8	1858	0.1	0.0001
1010000	372.15	395.8	1873	0.099775	9.9875e-05
1020000	386.45	395.8	1888	0.09955	9.975e-05
1030000	397.35	397.35	1904	0.09932500000000001	9.962500000000001e-05
1040000	403.05	403.75	1919	0.09910000000000001	9.95e-05
