Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	141.05	145.85	123	0.946	0.0001
70000	143.75	150.0	145	0.9369999999999999	0.0001
80000	148.5	151.4	165	0.9279999999999999	0.0001
90000	149.35	152.0	185	0.919	0.0001
100000	146.4	152.0	204	0.91	0.0001
110000	152.05	152.05	224	0.901	0.0001
120000	154.55	159.25	243	0.892	0.0001
130000	165.75	168.05	262	0.883	0.0001
140000	163.45	168.05	284	0.874	0.0001
150000	160.9	168.85	305	0.865	0.0001
160000	148.7	168.85	327	0.856	0.0001
170000	149.4	168.85	346	0.847	0.0001
180000	144.15	168.85	366	0.838	0.0001
190000	152.25	168.85	384	0.829	0.0001
200000	156.55	168.85	405	0.82	0.0001
210000	156.0	168.85	426	0.8109999999999999	0.0001
220000	144.85	168.85	446	0.802	0.0001
230000	142.2	168.85	469	0.7929999999999999	0.0001
240000	131.55	168.85	492	0.784	0.0001
250000	132.3	168.85	514	0.775	0.0001
260000	132.4	168.85	535	0.766	0.0001
270000	133.65	168.85	558	0.757	0.0001
280000	141.35	168.85	578	0.748	0.0001
290000	137.15	168.85	601	0.739	0.0001
300000	136.5	168.85	623	0.73	0.0001
310000	145.6	168.85	642	0.721	0.0001
320000	144.95	168.85	663	0.712	0.0001
330000	148.65	168.85	684	0.703	0.0001
340000	151.75	168.85	707	0.694	0.0001
350000	144.1	168.85	730	0.685	0.0001
360000	130.45	168.85	755	0.6759999999999999	0.0001
370000	119.8	168.85	780	0.667	0.0001
380000	120.85	168.85	803	0.6579999999999999	0.0001
390000	126.6	168.85	826	0.649	0.0001
400000	136.3	168.85	850	0.6399999999999999	0.0001
410000	147.25	168.85	870	0.631	0.0001
420000	156.2	168.85	892	0.622	0.0001
430000	164.45	168.85	913	0.613	0.0001
440000	171.6	173.75	930	0.604	0.0001
450000	184.55	184.55	948	0.595	0.0001
460000	175.75	185.25	970	0.586	0.0001
470000	185.3	186.35	990	0.577	0.0001
480000	183.75	187.15	1011	0.5680000000000001	0.0001
490000	179.45	189.55	1033	0.5589999999999999	0.0001
500000	178.65	189.55	1053	0.55	0.0001
510000	191.5	191.5	1072	0.5409999999999999	0.0001
520000	190.7	194.75	1094	0.532	0.0001
530000	191.85	198.55	1114	0.5229999999999999	0.0001
540000	211.85	211.85	1130	0.514	0.0001
550000	222.55	224.05	1149	0.5049999999999999	0.0001
560000	223.2	228.1	1171	0.4959999999999999	0.0001
570000	225.55	228.15	1191	0.487	0.0001
580000	230.3	230.7	1211	0.478	0.0001
590000	215.85	230.75	1233	0.469	0.0001
600000	210.6	230.75	1254	0.45999999999999996	0.0001
610000	213.0	230.75	1275	0.45099999999999996	0.0001
620000	215.2	230.75	1294	0.44199999999999995	0.0001
630000	214.0	230.75	1314	0.43299999999999994	0.0001
640000	223.25	230.75	1332	0.42399999999999993	0.0001
650000	230.05	230.75	1352	0.4149999999999999	0.0001
660000	245.5	245.5	1369	0.4059999999999999	0.0001
670000	255.75	259.4	1389	0.3969999999999999	0.0001
