Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	142.3	157.4	359	0.946	0.0001
70000	143.9	157.4	416	0.9369999999999999	0.0001
80000	147.35	157.4	476	0.9279999999999999	0.0001
90000	147.8	157.4	535	0.919	0.0001
100000	151.5	157.4	592	0.91	0.0001
110000	158.8	158.8	649	0.901	0.0001
120000	154.35	159.5	706	0.892	0.0001
130000	165.0	165.0	763	0.883	0.0001
140000	165.75	173.3	819	0.874	0.0001
150000	170.75	177.35	876	0.865	0.0001
160000	179.35	192.75	931	0.856	0.0001
170000	191.7	194.2	986	0.847	0.0001
180000	178.95	195.65	1041	0.838	0.0001
190000	175.75	195.65	1097	0.829	0.0001
200000	176.8	195.65	1155	0.82	0.0001
210000	194.15	195.65	1208	0.8109999999999999	0.0001
220000	187.8	198.05	1262	0.802	0.0001
230000	195.4	200.15	1313	0.7929999999999999	0.0001
240000	202.75	209.1	1365	0.784	0.0001
250000	189.9	209.1	1419	0.775	0.0001
260000	211.75	214.45	1468	0.766	0.0001
270000	234.75	236.6	1517	0.757	0.0001
280000	217.0	236.6	1566	0.748	0.0001
290000	214.25	236.6	1618	0.739	0.0001
300000	212.95	236.6	1670	0.73	0.0001
310000	215.9	236.6	1720	0.721	0.0001
320000	228.35	236.6	1769	0.712	0.0001
330000	215.8	236.6	1824	0.703	0.0001
340000	227.8	236.6	1871	0.694	0.0001
350000	228.75	242.5	1924	0.685	0.0001
360000	234.8	242.5	1970	0.6759999999999999	0.0001
370000	239.55	243.1	2022	0.667	0.0001
380000	224.05	243.1	2070	0.6579999999999999	0.0001
390000	225.25	243.1	2120	0.649	0.0001
400000	238.65	243.1	2165	0.6399999999999999	0.0001
410000	239.35	243.1	2213	0.631	0.0001
420000	223.55	245.2	2263	0.622	0.0001
430000	236.4	245.2	2309	0.613	0.0001
440000	252.4	256.85	2356	0.604	0.0001
450000	280.4	288.25	2400	0.595	0.0001
460000	282.8	293.0	2443	0.586	0.0001
470000	268.0	293.0	2489	0.577	0.0001
480000	269.15	293.0	2533	0.5680000000000001	0.0001
490000	282.8	293.0	2580	0.5589999999999999	0.0001
500000	273.65	293.0	2625	0.55	0.0001
510000	258.55	293.0	2672	0.5409999999999999	0.0001
520000	299.3	299.3	2713	0.532	0.0001
530000	293.85	304.5	2761	0.5229999999999999	0.0001
540000	276.35	304.5	2807	0.514	0.0001
550000	280.5	304.5	2852	0.5049999999999999	0.0001
560000	276.8	304.5	2896	0.4959999999999999	0.0001
570000	294.8	304.5	2940	0.487	0.0001
580000	290.65	304.5	2986	0.478	0.0001
590000	314.9	318.25	3026	0.469	0.0001
600000	334.85	339.2	3070	0.45999999999999996	0.0001
610000	331.85	348.0	3113	0.45099999999999996	0.0001
620000	340.5	348.0	3151	0.44199999999999995	0.0001
630000	332.4	348.0	3195	0.43299999999999994	0.0001
640000	321.1	348.0	3236	0.42399999999999993	0.0001
650000	325.5	348.0	3277	0.4149999999999999	0.0001
660000	324.8	348.0	3320	0.4059999999999999	0.0001
670000	327.9	348.0	3362	0.3969999999999999	0.0001
680000	339.25	348.0	3400	0.3879999999999999	0.0001
690000	373.3	373.9	3442	0.379	0.0001
700000	386.3	386.55	3481	0.37	0.0001
710000	385.95	392.0	3519	0.361	0.0001
720000	393.3	397.8	3555	0.352	0.0001
730000	397.1	401.6	3594	0.34299999999999997	0.0001
740000	383.3	401.95	3634	0.33399999999999996	0.0001
750000	359.85	401.95	3674	0.32499999999999996	0.0001
760000	352.55	401.95	3713	0.31599999999999995	0.0001
770000	377.15	401.95	3749	0.30699999999999994	0.0001
780000	388.1	401.95	3788	0.29799999999999993	0.0001
790000	412.95	417.0	3824	0.2889999999999999	0.0001
800000	406.0	417.0	3861	0.2799999999999999	0.0001
810000	387.45	417.0	3901	0.2709999999999999	0.0001
820000	383.25	417.0	3940	0.262	0.0001
830000	380.5	417.0	3977	0.253	0.0001
840000	402.55	417.0	4016	0.244	0.0001
850000	398.25	417.0	4053	0.235	0.0001
860000	401.4	417.0	4090	0.22599999999999998	0.0001
870000	421.55	421.95	4126	0.21699999999999997	0.0001
880000	418.55	428.1	4163	0.20799999999999996	0.0001
890000	402.0	428.1	4202	0.19899999999999995	0.0001
900000	400.1	428.1	4239	0.18999999999999995	0.0001
910000	413.6	428.1	4276	0.18099999999999994	0.0001
920000	405.7	428.1	4316	0.17199999999999993	0.0001
930000	411.85	428.1	4352	0.16299999999999992	0.0001
940000	420.4	428.1	4389	0.15400000000000003	0.0001
950000	454.8	457.2	4422	0.14500000000000002	0.0001
960000	461.65	463.65	4458	0.136	0.0001
970000	463.6	468.15	4493	0.127	0.0001
980000	470.8	470.8	4525	0.118	0.0001
990000	468.6	473.65	4561	0.10899999999999999	0.0001
1000000	480.35	480.35	4595	0.1	0.0001
1010000	466.0	481.3	4630	0.099775	9.9875e-05
1020000	486.6	487.4	4665	0.09955	9.975e-05
1030000	484.25	497.15	4699	0.09932500000000001	9.962500000000001e-05
1040000	494.7	497.15	4730	0.09910000000000001	9.95e-05
1050000	499.25	511.45	4761	0.098875	9.9375e-05
1060000	500.3	511.45	4796	0.09865	9.925e-05
1070000	484.0	511.45	4832	0.098425	9.912500000000001e-05
1080000	486.1	511.45	4863	0.09820000000000001	9.900000000000001e-05
1090000	462.7	511.45	4900	0.097975	9.8875e-05
1100000	477.95	511.45	4933	0.09775	9.875e-05
1110000	460.9	511.45	4967	0.097525	9.8625e-05
1120000	482.4	511.45	5002	0.09730000000000001	9.850000000000001e-05
1130000	472.4	511.45	5037	0.09707500000000001	9.8375e-05
